generation,best_individual_fitness,mean_fitness,tree
0,715.9146722076754,3091.06755,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
1,715.9146722076754,2215.66652,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
2,715.9146722076754,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
3,715.9146722076754,920.00529,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
4,676.5892898205904,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (exp (/ (* _10 RemProcTime) SSD))) SLACK)"
5,676.5892898205904,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (exp (/ (* _10 RemProcTime) SSD))) SLACK)"
6,676.5892898205904,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (exp (/ (* _10 RemProcTime) SSD))) SLACK)"
7,670.240564354974,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (* (exp (/ PT (max _0.1 (+ SLACK _5)))) (if (/ NPT (max _1 (- LLD _2))) SPT (if _0.5 PT WINQ))) SLACK)"
8,665.2601009936461,Infinity,"(* (- (exp (/ PT (max _0.1 SLACK))) (exp (/ (* _0 RemProcTime) (max _1 (- LLD _5))))) SLACK)"
9,623.1677993180873,793.26586,"(* (* _10 (/ PT (max _0.1 SLACK))) SLACK)"
