generation,best_individual_fitness,mean_fitness,tree
0,349.6038740892964,1257.45175,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
1,349.6038740892964,932.68836,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
2,349.6038740892964,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
3,349.6038740892964,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
4,349.6038740892964,349.60387,"(* (- (exp (/ PT (max _0.1 SLACK))) (if TimeInSystem (/ NPT (max _1 (- LLD _0.5))) (/ OpsLeft (max _0.1 SSD)))) (- LLD RemProcTime))"
5,344.77110570387526,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (- (exp (/ PT (max _1 SLACK))) (if TimeInSystem (/ NPT (max _1 TimeTillDue)) (/ (+ RemProcTime TimeInQueue) (max _1 SSD)))) (- LLD RemProcTime))"
6,290.79694482688615,375.80123,"(* (if (exp (if (/ (+ RemProcTime TimeInQueue) (max _0.1 SSD)) (/ NPT (max _1 TimeTillDue)) (/ (* _10 RemProcTime) (max _1 TimeTillDue)))) PT TimeInSystem) SLACK)"
7,290.79694482688615,Infinity,"(* (if (exp (if (/ (+ RemProcTime TimeInQueue) (max _0.1 SSD)) (/ NPT (max _1 TimeTillDue)) (/ (* _10 RemProcTime) (max _1 TimeTillDue)))) PT TimeInSystem) SLACK)"
8,290.79694482688615,Infinity,"(* (if (exp (if (/ (+ RemProcTime TimeInQueue) (max _0.1 SSD)) (/ NPT (max _1 TimeTillDue)) (/ (* _10 RemProcTime) (max _1 TimeTillDue)))) PT TimeInSystem) SLACK)"
9,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
10,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
11,286.8906106712868,344.45051,"(* (exp PT) SLACK)"
12,286.8906106712868,295.47711,"(* (exp PT) SLACK)"
13,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
14,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
15,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
16,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
17,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
18,286.8906106712868,318.18697,"(* (exp PT) SLACK)"
19,286.8906106712868,378.82944,"(* (exp PT) SLACK)"
20,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
21,286.8906106712868,305.84021,"(* (exp PT) SLACK)"
22,286.8906106712868,309.13098,"(* (exp PT) SLACK)"
23,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
24,286.8906106712868,329.59944,"(* (exp PT) SLACK)"
25,286.8906106712868,296.31513,"(* (exp PT) SLACK)"
26,286.8906106712868,308.94408,"(* (exp PT) SLACK)"
27,286.8906106712868,310.68054,"(* (exp PT) SLACK)"
28,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
29,286.8906106712868,343.75300,"(* (exp PT) SLACK)"
30,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
31,286.8906106712868,315.52516,"(* (exp PT) SLACK)"
32,286.8906106712868,316.92009,"(* (exp PT) SLACK)"
33,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
34,286.8906106712868,330.35154,"(* (exp PT) SLACK)"
35,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
36,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
37,286.8906106712868,342.72968,"(* (exp PT) SLACK)"
38,286.8906106712868,333.15172,"(* (exp PT) SLACK)"
39,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
40,286.8906106712868,320.69328,"(* (exp PT) SLACK)"
41,286.8906106712868,380.42309,"(* (exp PT) SLACK)"
42,286.8906106712868,319.79518,"(* (exp PT) SLACK)"
43,286.8906106712868,Infinity,"(* (exp PT) SLACK)"
44,286.8906106712868,314.03655,"(* (exp PT) SLACK)"
45,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
46,286.8906106712868,289.66591,"(* (exp PT) SLACK)"
47,286.8906106712868,898846567431157800000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000.00000,"(* (exp PT) SLACK)"
48,285.6915648389422,303.92923,"(* (/ PT (max _1 (+ SLACK _0))) SLACK)"
49,285.6915648389422,Infinity,"(* (/ PT (max _1 (+ SLACK _0))) SLACK)"
