generation,best_fitness,average_flow_time,best_individual_fitness
0,0.000038,26192.562189,0.000038
1,0.000038,26192.562189,0.000038
2,0.000039,26555.571144,0.000039
3,0.000039,25744.369154,0.000039
4,0.000039,25744.369154,0.000039
